@relation Hists

@attribute f1
@attribute f2
@attribute f3
@attribute f4
@attribute f5
@attribute f6
@attribute f7
@attribute f8
@attribute f9
@attribute f10
@attribute f11
@attribute f12
@attribute f13

@data
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0,0,0,0
2,3,0,0,0,0,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0,0,0,0
2,3,0,0,0,0,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,1,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,2
2,1,0,0,0,0,0,0,0,0,0,0,2
3,0,0,1,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,1,1,0,1
3,1,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,1,2,0
3,0,0,0,0,0,0,0,0,0,0,2,0
2,0,0,0,0,0,0,0,0,0,0,3,0
3,0,0,0,0,0,0,0,0,0,0,2,0
2,0,0,0,0,0,0,0,0,0,0,3,0
3,0,0,0,0,0,0,0,0,0,0,2,0
2,0,0,0,0,0,0,0,0,0,1,2,0
3,0,0,0,0,0,0,0,0,0,1,1,0
2,0,0,0,0,0,0,0,1,0,1,1,0
3,0,0,0,0,0,0,0,0,0,2,0,0
2,0,0,0,0,0,0,1,2,0,0,0,0
3,0,0,1,0,0,1,0,0,0,0,0,0
2,1,0,0,0,2,0,0,0,0,0,0,0
4,0,1,0,0,0,0,0,0,0,0,0,0
4,0,1,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0,0,0,0
2,3,0,0,0,0,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0,0,0,0
2,2,1,0,0,0,0,0,0,0,0,0,0
3,1,0,0,1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,1,0,0,1,1
3,0,0,0,0,0,0,0,0,0,1,1,0
2,0,0,0,0,0,0,0,0,0,1,2,0
3,0,0,0,0,0,0,0,0,0,1,1,0
2,0,0,0,0,0,0,0,0,0,0,3,0
3,0,1,0,0,0,0,0,0,0,0,1,0
2,0,0,1,0,0,0,0,0,0,0,2,0
3,0,1,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,1,0,0,0,0,0,2,0
3,0,0,0,0,0,0,0,0,1,0,1,0
2,1,0,0,0,0,0,0,0,1,1,0,0
3,0,0,0,0,0,0,0,0,1,0,1,0
2,0,0,1,0,1,0,0,0,1,0,0,0
3,1,0,0,0,0,0,0,1,0,0,0,0
3,1,0,1,0,0,0,0,0,0,0,0,0
3,0,0,1,0,0,1,0,0,0,0,0,0
2,1,2,0,0,0,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0,0,0,0
2,2,1,0,0,0,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0,0,0,0
2,3,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0,0,0,1,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,1,2
3,0,0,0,0,0,0,0,0,0,0,2,0
2,0,0,0,0,0,0,0,0,0,0,3,0
3,0,0,0,0,0,0,0,0,0,0,2,0
2,0,0,0,0,0,0,0,0,0,0,2,1
3,0,0,0,0,0,0,0,0,0,0,2,0
2,0,0,0,0,0,0,0,0,0,0,3,0
3,0,0,0,0,0,0,0,0,0,0,2,0
2,0,0,0,0,0,0,0,0,0,0,3,0
3,0,0,0,0,0,0,0,0,0,0,2,0
2,0,0,0,0,0,0,0,0,0,1,2,0
3,0,0,0,0,0,0,0,1,0,0,1,0
2,0,0,0,0,0,0,0,0,1,0,2,0
3,0,0,0,0,0,0,0,0,2,0,0,0
2,0,0,0,0,0,0,1,2,0,0,0,0
3,0,0,0,0,0,0,0,1,0,1,0,0
2,0,1,0,0,0,0,1,0,0,1,0,0
3,1,0,0,1,0,0,0,0,0,0,0,0
2,1,0,1,0,0,0,1,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0,0,0,0
2,3,0,0,0,0,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0,0,0,0
2,3,0,0,0,0,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,1,2
3,0,0,0,0,0,0,0,0,0,1,1,0
2,0,0,0,0,0,0,0,0,0,0,1,2
3,0,0,0,0,0,0,0,0,0,0,2,0
2,0,0,0,0,0,0,0,0,0,0,3,0
3,0,0,0,0,0,0,0,0,0,0,2,0
2,0,0,0,0,0,0,0,0,0,0,3,0
3,0,0,0,0,0,0,0,0,0,0,2,0
2,0,0,0,0,0,0,0,0,0,0,3,0
3,0,0,0,0,0,0,0,0,0,0,2,0
2,0,0,0,0,0,0,0,0,0,0,3,0
3,0,0,0,0,0,0,0,0,0,1,1,0
2,0,0,0,0,0,0,0,0,0,0,3,0
3,0,0,0,0,0,0,0,0,0,0,2,0
2,1,0,0,0,0,0,0,0,2,0,0,0
3,0,0,0,0,0,0,0,1,1,0,0,0
2,0,0,0,0,0,0,0,0,2,1,0,0
3,0,0,0,1,1,0,0,0,0,0,0,0
2,2,1,0,0,0,0,0,0,0,0,0,0
4,0,1,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0,0,0,0
2,3,0,0,0,0,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0,0,0,0
2,3,0,0,0,0,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,1,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,1,1
2,0,0,0,0,0,0,0,0,0,0,2,1
3,0,0,0,0,0,0,0,0,0,0,1,1
2,0,0,0,0,0,0,0,0,0,0,2,1
3,0,0,0,0,0,0,0,0,0,0,2,0
2,0,0,0,0,0,0,0,0,0,0,3,0
3,0,0,0,0,0,0,0,0,0,0,2,0
2,0,0,0,0,0,0,0,0,0,0,3,0
3,0,0,0,0,0,0,0,0,0,0,2,0
2,0,0,0,0,0,0,0,0,0,0,3,0
3,0,0,0,0,0,0,0,0,0,0,2,0
2,0,0,0,0,0,0,0,1,0,2,0,0
3,0,0,0,0,0,0,0,0,1,1,0,0
2,0,0,0,0,0,0,0,2,1,0,0,0
3,0,0,0,0,0,2,0,0,0,0,0,0
2,1,0,0,0,0,0,1,1,0,0,0,0
4,0,0,0,1,0,0,0,0,0,0,0,0
2,0,1,1,1,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0,0,0,0
2,3,0,0,0,0,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0,0,0,0
2,3,0,0,0,0,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,1,0,0,0,1,0,0,0,0
3,0,0,0,0,0,1,0,0,1,0,0,0
2,0,0,0,0,0,0,0,0,0,0,2,1
3,0,0,0,0,0,0,0,0,0,0,1,1
2,0,0,0,0,0,0,0,0,0,0,2,1
3,0,0,0,0,0,0,0,0,0,0,2,0
2,0,0,0,0,0,0,0,0,0,0,3,0
3,0,0,0,0,0,0,0,0,0,0,2,0
2,0,0,0,0,0,0,0,0,0,1,2,0
3,0,0,0,0,0,0,0,0,0,0,2,0
2,0,0,0,0,0,0,0,0,0,0,3,0
3,0,0,0,0,0,0,0,0,0,0,2,0
2,0,0,0,0,0,0,0,0,0,0,3,0
3,0,0,0,0,0,0,0,1,0,0,1,0
2,0,0,0,0,0,0,1,0,0,1,1,0
3,0,0,0,1,0,0,0,1,0,0,0,0
2,0,0,0,0,0,1,0,1,0,1,0,0
3,0,0,0,0,0,1,0,1,0,0,0,0
2,0,0,0,0,2,0,1,0,0,0,0,0
3,0,1,0,0,0,0,1,0,0,0,0,0
2,1,1,1,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0,0,0,0
2,3,0,0,0,0,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0,0,0,0
2,3,0,0,0,0,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,1,0,0,0,0,0,1,0
3,0,0,0,0,0,0,0,0,0,0,1,1
2,0,0,0,0,0,0,0,0,0,0,0,3
3,0,0,0,0,0,0,0,0,0,0,2,0
2,0,0,0,0,0,0,0,0,0,0,2,1
3,0,0,0,0,0,0,0,0,0,0,2,0
2,1,0,0,0,0,0,0,0,0,0,2,0
3,0,0,0,0,0,0,0,0,0,0,2,0
2,0,0,0,0,0,0,0,0,0,1,2,0
3,2,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0,0,0,0
2,3,0,0,0,0,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0,0,0,0
2,3,0,0,0,0,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,1,0,0,0,0,2,0,0,0
3,0,0,0,0,0,0,0,1,0,0,0,1
2,0,0,0,0,0,0,0,0,0,0,2,1
3,0,0,0,0,0,0,0,0,0,0,0,2
2,0,0,0,0,0,0,0,0,0,0,2,1
3,0,0,0,0,0,0,0,0,0,0,2,0
2,0,0,0,0,0,0,0,0,0,0,3,0
3,0,0,0,0,0,0,0,0,0,0,2,0
2,0,0,0,0,0,0,0,0,0,0,3,0
3,0,0,0,0,0,0,0,0,0,0,2,0
2,0,0,0,0,0,0,0,0,0,0,3,0
3,0,0,0,0,0,0,0,0,0,0,2,0
2,0,0,0,0,0,0,0,0,0,0,3,0
3,0,0,0,0,0,0,0,0,0,0,2,0
2,0,0,0,0,0,0,0,0,0,0,3,0
3,1,0,0,0,0,0,1,0,0,0,0,0
3,0,0,0,0,0,0,0,1,1,0,0,0
3,0,0,0,0,1,1,0,0,0,0,0,0
3,0,0,0,0,0,0,1,1,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0,0,0,0
2,3,0,0,0,0,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0,0,0,0
2,3,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0,1,0,0,0
2,0,0,0,0,0,0,0,0,0,1,1,1
3,0,0,0,0,0,0,0,0,0,0,1,1
2,0,0,0,0,0,0,0,0,0,0,2,1
3,0,0,0,0,0,0,0,0,0,0,2,0
2,0,0,0,0,0,0,0,0,0,0,2,1
3,0,0,0,0,0,0,0,0,0,0,2,0
2,0,0,0,0,0,0,0,0,0,0,3,0
3,0,0,0,0,0,0,0,0,0,0,2,0
2,0,0,0,0,0,0,0,0,0,0,3,0
3,0,0,0,0,0,0,0,0,0,0,2,0
2,0,0,0,0,0,0,0,0,0,0,3,0
3,0,0,0,0,0,0,0,0,1,0,1,0
2,1,0,0,0,1,1,0,0,0,0,0,0
3,0,0,1,0,0,0,0,1,0,0,0,0
2,0,0,2,0,0,0,0,1,0,0,0,0
3,1,0,1,0,0,0,0,0,0,0,0,0
3,1,1,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0,0,0,0
2,3,0,0,0,0,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0,0,0,0
2,3,0,0,0,0,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,2,1,0,0
3,0,0,0,0,0,0,0,0,0,0,0,2
2,0,0,0,0,0,0,0,0,0,0,0,3
3,0,0,0,0,0,0,0,0,0,0,2,0
2,0,0,0,0,0,0,0,0,0,0,3,0
3,0,0,0,0,0,0,0,0,0,0,2,0
2,0,0,0,0,0,0,0,0,0,0,2,1
3,0,0,0,0,0,0,0,0,0,2,0,0
2,0,0,0,0,0,0,0,0,0,0,3,0
3,0,0,0,0,0,0,0,0,0,1,1,0
2,0,0,0,0,0,0,0,0,0,0,3,0
3,0,0,0,0,0,0,0,0,1,0,1,0
2,0,0,0,0,0,0,0,0,0,1,2,0
3,0,0,0,0,0,0,0,0,1,1,0,0
2,0,0,1,0,0,0,1,1,0,0,0,0
3,0,0,0,0,1,0,0,1,0,0,0,0
2,0,0,0,2,1,0,0,0,0,0,0,0
3,1,1,0,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0,0,0,0
2,3,0,0,0,0,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,1,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,1,0,0,0
3,0,0,0,0,0,0,0,0,0,2,0,0
2,0,0,0,0,0,0,0,0,0,1,0,2
3,0,0,0,0,0,0,0,0,0,0,1,1
2,0,0,0,0,0,0,0,0,0,0,3,0
3,0,0,0,0,0,0,0,0,0,0,2,0
2,0,0,0,0,0,0,0,0,0,0,3,0
3,0,0,0,0,0,0,0,0,0,0,2,0
2,0,0,0,0,0,0,0,0,0,0,3,0
3,0,0,0,0,0,0,0,0,0,0,2,0
2,0,0,0,0,0,0,0,0,0,0,3,0
3,1,0,0,0,0,0,0,0,0,0,1,0
2,0,1,0,0,0,0,0,0,0,0,2,0
3,0,0,0,0,0,0,0,0,0,0,2,0
2,0,0,0,0,0,0,0,0,1,1,1,0
3,0,0,0,0,0,0,1,1,0,0,0,0
2,0,0,0,0,0,1,1,0,1,0,0,0
3,0,0,0,0,0,0,1,0,1,0,0,0
2,1,0,0,0,1,0,0,1,0,0,0,0
3,0,1,0,0,0,1,0,0,0,0,0,0
2,1,0,2,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0,0,0,0
